"rule_id","zh_cn"
"0",""
"4724","登录路由器失败。"
"2901","要求安装新的 dpkg（Debian 软件包）。"
"2902","安装了新的 dpkg（Debian 软件包）。"
"2903","删除了 Dpkg（Debian 软件包）。"
"53700","PSAD组"
"53701","检测到PSAD组扫描"
"53702","PSAD 组添加了 iptables"
"53711","PSAD端口扫描"
"53712","PSAD 自动封锁"
"53713","PSAD 3 级警告"
"53714","来自同一来源的许多 PSAD 3 级警告"
"53715","来自同一来源的许多 PSAD 3 级警告（慢速扫描）"
"53716","PSAD签名匹配"
"4800","SonicWall 消息分组。"
"4801","SonicWall 关键消息。"
"4802","SonicWall 关键消息。"
"4803","SonicWall 错误消息。"
"4804","SonicWall 警告消息。"
"4805","SonicWall 通知消息。"
"4806","SonicWall 信息性消息。"
"4807","SonicWall 调试消息。"
"4810","防火墙管理员登录。"
"4811","防火墙认证失败。"
"4850","多个防火墙警告消息。"
"4851","多个防火墙错误消息。"
"3500","针对垃圾邮件规则进行分组"
"3501","SPAMD 结果消息（在这里不是很有用）。"
"3502","垃圾邮件调试事件（阅读消息）。"
"3900","按快递规则分组。"
"3901","新快递（imap/pop3）连接。"
"3902","Courier (imap/pop3) 认证失败。"
"3903","快递注销/超时。"
"3904","Courier (imap/pop3) 认证成功。"
"3910","Courier 暴力破解（多次登录失败）。"
"3911","来自同一来源的多次连接尝试。"
"52000","服装分组"
"52001","忽略允许或状态"
"52002","Apparmor 被拒绝"
"52003","Apparmor DENIED exec 操作。"
"52004","Apparmor 拒绝 mknod 操作。"
"6100","Solaris BSM 审计消息分组。"
"6101","审核会话失败。"
"6102","审核会议成功。"
"6103","登录会话成功。"
"6104","登录会话失败。"
"6105","用户成功更改了 UID。"
"6106","用户无法更改 UID（用户 ID）。"
"53200","NSD 分组。"
"53201","nsd 配置中的语法错误。"
"53202","nsd 配置中的语法错误。"
"53203","nsd 统计"
"53204","无法绑定到套接字。"
"53205","nsd 已经在运行。"
"53206","通知未实施。"
"53207","区域文件读取错误。"
"53208","错误分组。"
"53209","区域转移未实施。"
"53210","tcp 连接重置。"
"53211","未配置尝试的区域传输。"
"53212","服务器不是区域传输的权威。"
"6200","星号消息分组。"
"6201","星号通知消息分组。"
"6202","星号警告消息。"
"6203","星号错误消息。"
"6210","登录会话失败。"
"6211","登录会话失败（无效用户）。"
"6212","登录会话失败（无效的扩展名）。"
"6250","多次登录失败（正在进行用户枚举）。"
"6251","多次登录失败。"
"6252","扩展枚举。"
"6253","登录会话失败（无效的 iax 用户）。"
"6254","扩展 IAX 枚举。"
"6255","可能的注册劫持。"
"6256","IAX 对等方密码错误。"
"6257","多次登录失败。"
"6258","登录会话失败（无效的扩展名）。"
"56201","FastCGI 错误消息。"
"40101","系统用户成功登录系统。"
"40102","对rpc.statd的缓冲区溢出攻击"
"40103","2.6 之前的 WU-FTPD 版本上的缓冲区溢出"
"40104","可能的缓冲区溢出尝试。"
"40105","Null 用户更改了一些信息。"
"40106","缓冲区溢出尝试（可能在 yppasswd 上）。"
"40107","Solaris cachefsd 服务中的堆溢出。"
"40109","堆栈溢出尝试或程序退出 SEGV (Solaris)。"
"40111","多次身份验证失败。"
"40112","在一次成功后多次身份验证失败。"
"40113","检测到多种病毒 - 可能爆发。"
"9400","圆形立方体消息分组。"
"9401","圆形立方体身份验证失败。"
"9402","Roundcube 身份验证成功。"
"9403","Roundcube 蛮力（多次登录失败）。"
"4700","Cisco IOS 规则的分组。"
"4710","Cisco IOS 紧急消息。"
"4711","Cisco IOS 警报消息。"
"4712","Cisco IOS 关键消息。"
"4713","Cisco IOS 错误消息。"
"4714","Cisco IOS 警告消息。"
"4715","Cisco IOS 通知消息。"
"4716","Cisco IOS 信息性消息。"
"4717","Cisco IOS 调试消息。"
"4721","Cisco IOS 路由器配置已更改。"
"4722","成功登录路由器。"
"4724","登录路由器失败。"
"31300","Nginx 消息分组。"
"31301","Nginx 错误消息。"
"31302","Nginx 警告消息。"
"31303","Nginx 关键信息。"
"31310","服务器返回 404（在 access.log 中报告）。"
"31311","不完整的客户请求。"
"31312","初始 401 身份验证请求。"
